PourcentageNdansM,nbErrorK1,nbErrorK2,nbErrorK3,nbErrorK4,nbErrorK5
1,1,1,1,1,1
2,1,1,1,1,1
3,2,2,2,2,2
4,4,3,3,2,2
5,4,3,1,1,1
6,5,4,2,2,2
7,6,4,3,2,2
8,7,6,4,2,2
9,8,5,3,3,2
10,9,7,4,4,4
11,10,7,4,3,2
12,11,8,5,4,2
13,12,8,5,3,2
14,13,9,6,5,2
15,14,9,6,3,3
16,15,11,7,4,4
17,16,11,6,4,2
18,18,12,8,5,4
19,19,12,6,5,4
20,20,14,8,5,4
21,20,13,7,5,4
22,22,15,9,5,5
23,23,15,9,5,3
24,24,16,10,6,4
25,24,16,10,6,7
26,25,18,10,7,5
27,26,17,10,7,4
28,27,19,11,8,6
29,28,19,11,7,5
30,29,20,12,8,5
31,30,20,11,7,7
32,31,22,12,9,6
33,33,21,12,8,5
34,34,23,14,10,7
35,35,23,13,8,5
36,36,24,15,10,7
37,37,24,14,9,7
38,37,26,14,9,5
39,38,25,15,9,5
40,39,27,15,11,10
41,40,27,15,10,7
42,41,28,16,11,9
43,43,28,16,10,8
44,43,30,17,10,6
45,44,29,17,11,7
46,45,31,19,11,11
47,46,31,17,11,6
48,47,32,19,12,7
49,48,32,18,12,12
50,49,34,20,12,8
51,50,33,19,12,7
52,51,35,20,13,12
53,52,35,20,13,8
54,53,36,21,14,8
55,55,37,21,13,10
56,56,38,22,14,9
57,57,38,22,14,10
58,57,38,23,16,11
59,59,40,22,14,8
60,60,39,24,16,10
61,61,41,22,14,12
62,62,41,24,15,11
63,63,42,23,15,10
64,64,42,25,17,13
65,65,44,25,16,12
66,65,43,26,18,11
67,66,45,26,16,13
68,67,45,26,16,10
69,69,46,26,16,10
70,70,46,27,17,15
71,71,48,27,17,11
72,72,47,28,18,12
73,73,49,27,18,15
74,74,49,29,17,11
75,75,50,28,18,11
76,76,50,30,19,16
77,77,52,29,18,11
78,78,51,31,19,11
79,79,53,30,19,15
80,80,53,31,21,14
81,81,54,31,20,14
82,82,54,31,21,18
83,83,56,31,20,13
84,83,55,31,22,13
85,85,57,33,20,17
86,86,57,34,21,14
87,87,58,33,21,13
88,88,58,35,23,18
89,89,60,33,22,16
90,90,59,34,23,14
91,91,61,34,22,18
92,92,61,36,24,15
93,93,62,35,22,14
94,94,62,36,23,18
95,95,64,36,23,15
96,95,63,36,24,13
97,96,65,37,24,22
98,97,65,38,24,14
99,98,66,38,24,15
100,99,66,39,24,21
