TailleM,DuréeArrayList(milisecondes),DuréeTab(milisecondes),DuréeLinkedList(milisecondes)
100,8,3,27
200,2,1,11
300,1,1,16
400,1,1,20
500,1,1,25
600,1,1,31
700,1,1,53
800,1,1,40
900,1,0,45
1000,0,1,50
1100,1,0,55
1200,1,0,61
1300,1,1,69
1400,1,1,71
1500,1,1,76
1600,1,1,81
1700,1,1,86
1800,1,1,92
1900,1,1,96
2000,1,1,103
2100,1,1,106
2200,1,0,113
2300,0,1,118
2400,1,1,123
2500,1,1,127
2600,1,0,133
2700,1,0,138
2800,1,1,143
2900,1,1,148
3000,0,1,154
3100,0,1,158
3200,1,1,163
3300,1,1,168
3400,1,1,174
3500,0,1,178
3600,1,1,183
3700,5,1,197
3800,1,0,194
3900,0,1,199
4000,0,1,203
4100,1,0,209
4200,1,1,213
4300,1,0,219
4400,1,1,223
4500,1,0,229
4600,0,1,234
4700,0,1,239
4800,1,0,244
4900,0,1,249
5000,0,1,253
5100,1,0,260
5200,0,1,263
5300,1,1,268
5400,1,0,275
5500,1,0,279
5600,1,0,284
5700,0,1,290
5800,0,1,294
5900,0,1,299
6000,1,0,305
6100,1,0,310
6200,0,1,315
6300,0,1,320
6400,1,5,335
6500,0,1,330
6600,1,0,336
6700,0,1,340
6800,0,1,344
6900,1,0,352
7000,1,0,355
7100,0,1,359
7200,0,1,365
7300,0,1,370
7400,0,1,374
7500,1,0,381
7600,0,1,386
7700,0,1,390
7800,1,1,396
7900,1,1,401
8000,1,0,406
8100,0,1,411
8200,0,1,415
8300,1,0,421
8400,0,1,426
8500,0,1,432
8600,1,0,436
8700,1,0,441
8800,1,1,445
8900,0,1,451
9000,5,1,471
9100,1,0,463
9200,0,1,466
9300,1,0,473
9400,1,0,479
9500,1,0,483
9600,0,1,486
9700,1,0,494
9800,0,1,495
9900,1,0,501
10000,1,1,505
