TailleM,DuréeArrayList(milisecondes),DuréeTab(milisecondes),DuréeLinkedList(milisecondes)
100,8,4,9
200,6,1,12
300,1,1,15
400,1,1,20
500,1,1,26
600,1,1,31
700,1,1,45
800,1,1,40
900,1,0,46
1000,1,0,51
1100,1,0,57
1200,1,0,62
1300,1,1,68
1400,1,0,72
1500,1,1,76
1600,1,1,82
1700,1,1,86
1800,1,1,92
1900,1,1,97
2000,1,1,102
2100,1,0,108
2200,0,1,113
2300,0,1,118
2400,1,1,124
2500,1,1,129
2600,1,1,133
2700,1,1,138
2800,1,0,144
2900,1,1,148
3000,1,0,154
3100,1,1,158
3200,1,1,166
3300,1,1,172
3400,1,1,174
3500,1,0,181
3600,1,0,184
3700,4,2,195
3800,1,0,193
3900,1,0,199
4000,0,1,203
4100,1,0,209
4200,1,0,215
4300,1,0,218
4400,0,1,223
4500,1,0,229
4600,0,1,233
4700,0,1,239
4800,0,1,243
4900,0,1,250
5000,0,1,255
5100,0,1,261
5200,0,1,265
5300,1,1,269
5400,1,1,274
5500,0,1,281
5600,1,0,286
5700,1,0,291
5800,0,1,296
5900,0,1,300
6000,1,0,306
6100,1,0,309
6200,1,0,317
6300,0,1,319
6400,0,5,336
6500,0,1,330
6600,1,0,335
6700,1,0,340
6800,1,0,345
6900,0,1,351
7000,0,1,354
7100,0,1,369
7200,1,0,365
7300,1,0,372
7400,0,1,375
7500,1,0,382
7600,1,0,387
7700,1,0,391
7800,1,0,396
7900,0,1,402
8000,0,1,408
8100,1,1,410
8200,0,1,415
8300,1,0,422
8400,0,1,425
8500,1,1,432
8600,1,0,435
8700,1,0,443
8800,1,0,446
8900,1,1,451
9000,5,2,473
9100,0,1,465
9200,1,0,467
9300,0,1,473
9400,1,0,477
9500,0,1,483
9600,1,0,490
9700,1,0,494
9800,1,0,497
9900,0,1,502
10000,1,0,507
